company,price_return,weight,weighted_return
ABBANK,0.0,0.009668204355468403,0.0
ALARABANK,0.0,0.03833662470108845,0.0
BANKASIA,0.0,0.02282427416063375,0.0
BRACBANK,0.0,0.15654671337675155,0.0
CITYBANK,0.004608294930875667,0.052958156757169514,0.00024404680533258324
DHAKABANK,-0.02678571428571408,0.015578649398868896,-0.00041728525175541365
DUTCHBANGL,0.0,0.013439417047073514,0.0
EBL,0.0,0.06221993906623848,0.0
EXIMBANK,0.0,0.013904074780626954,0.0
FIRSTSBANK,0.0,0.011470552253645473,0.0
GIB,0.0,0.006233082706404623,0.0
ICBIBANK,0.0,0.002008881866900469,0.0
IFIC,0.0,0.01867371762991603,0.0
ISLAMIBANK,-0.008830022075055122,0.16546732756423108,-0.0014610801550925371
JAMUNABANK,0.0,0.021548321427887245,0.0
MERCANBANK,0.0,0.013809936528246906,0.0
MIDLANDBNK,0.032128514056224855,0.00908588023667803,0.0002919158308972857
MTB,0.0,0.018702029478348262,0.0
NBL,0.0,0.024319879379143105,0.0
NCCBANK,0.0,0.0173759800677542,0.0
NRBBANK,-0.009259259259259522,0.007457249233698508,-6.904860401572888e-05
NRBCBANK,0.0,0.005223418455941926,0.0
ONEBANKPLC,0.0,0.013671658908992655,0.0
PREMIERBAN,0.0,0.014029456048258983,0.0
PRIMEBANK,0.0,0.04512007336504215,0.0
PUBALIBANK,0.0,0.054854446282430316,0.0
RUPALIBANK,-0.0340425531914893,0.002491605100517429,-8.482059916655062e-05
SBACBANK,0.0,0.004809576687930614,0.0
SHAHJABANK,0.0,0.02498895870986911,0.0
SIBL,0.0,0.019178781497539408,0.0
SOUTHEASTB,0.0,0.016077380430106203,0.0
STANDBANKL,0.0,0.010958818084351417,0.0
TRUSTBANK,0.0,0.01796272887968088,0.0
UCB,0.0,0.03319332428427001,0.0
UNIONBANK,0.0,0.0032443700371014065,0.0
UTTARABANK,0.0,0.03256651121119414,0.0
ARAMITCEM,0.0,0.006541579064358843,0.0
CONFIDCEM,0.0,0.08291661366501646,0.0
CROWNCEMNT,0.0,0.09108858506932563,0.0
HEIDELBCEM,0.0,0.1369631964307407,0.0
LHB,-0.009009009009009028,0.5884108793551733,-0.005300998913109681
MEGHNACEM,0.0,0.020261678576612232,0.0
PREMIERCEM,-0.0020366598778004397,0.07381746783877283,-0.00015034107502805296
FUWANGCER,0.0,0.15889314973572727,0.0
MONNOCERA,0.0,0.262997300788965,0.0
RAKCERAMIC,0.09569377990430628,0.33762834908503964,0.03230893292679807
SPCERAMICS,0.00454545454545463,0.20038043494800792,0.0009108201588545984
STANCERAM,0.0,0.04010076544226021,0.0
AIBLPBOND,0.0,0.028474528853288827,0.0
APSCLBOND,0.0,0.031052789764164347,0.0
BEXGSUKUK,0.0,0.7814340628755013,0.0
IBBL2PBOND,0.0,0.037902230003033194,0.0
IBBLPBOND,0.0,0.12113638850401233,0.0
AFTABAUTO,0.0,0.02040271793581099,0.0
ANWARGALV,0.0,0.010634319194542404,0.0
APOLOISPAT,0.0,0.008253978791271897,0.0
ATLASBANG,0.0,0.007356875285352944,0.0
AZIZPIPES,0.0,0.0019339819062383376,0.0
